frequency - Sound Pressure_29 (FFT - (RMS) Phase)	Amplitude - Sound Pressure_29 (FFT - (RMS) Phase)	frequency - Acceleration (FFT - (RMS) Phase)	Amplitude - Acceleration (FFT - (RMS) Phase)
79.360001	-0.897487	79.360001	2.97339
79.872001	1.85126	79.872001	0.9274
80.384001	0.191879	80.384001	-2.44542
80.896001	3.13045	80.896001	2.31731
81.408001	-0.788883	81.408001	1.75847
81.920001	2.29868	81.920001	0.629858
82.432001	-1.19644	82.432001	2.6301
82.944001	1.71373	82.944001	-0.481354
83.456001	-0.935287	83.456001	2.33701
83.968001	-0.439117	83.968001	0.484211
84.480001	2.38397	84.480001	2.59632
84.992001	-1.54148	84.992001	0.995481
85.504001	2.01126	85.504001	0.667814
86.016001	-0.945729	86.016001	0.784973
86.528001	1.51361	86.528001	0.088406
87.040001	-2.11238	87.040001	-1.07564
87.552001	2.28507	87.552001	-1.83138
88.064001	0.188428	88.064001	-2.63198
88.576001	-2.5267	88.576001	2.8031
89.088001	0.0868063	89.088001	1.36413
89.600001	-2.30858	89.600001	2.01331
90.112001	1.12963	90.112001	0.769052
90.624001	-1.07116	90.624001	-1.05377
91.136001	-2.69826	91.136001	0.920794
91.648001	1.13496	91.648001	-1.25335
92.160001	-3.02334	92.160001	-2.86549
92.672001	1.99234	92.672001	2.62893
93.184001	-0.358057	93.184001	-2.06587
93.696001	2.67425	93.696001	1.23028
94.208001	2.65102	94.208001	-2.95614
94.720001	-0.182936	94.720001	2.56218
95.232001	2.75366	95.232001	-0.219799
95.744001	-0.749758	95.744001	2.37525
96.256001	1.50569	96.256001	0.704653
96.768001	-0.942997	96.768001	-2.26958
97.280001	2.27559	97.280001	1.49856
97.792001	-0.109849	97.792001	-2.08786
98.304001	-2.87849	98.304001	-0.498366
98.816001	0.191822	98.816001	1.36098
99.328001	-1.38262	99.328001	-1.30024
99.840001	2.23775	99.840001	2.24914
100.352001	-1.15398	100.352001	-0.608693
100.864001	2.03186	100.864001	-2.75471
101.376001	-1.77663	101.376001	1.31092
101.888001	0.920431	101.888001	-2.07567
102.400001	-2.77211	102.400001	1.81957
102.912001	-0.526009	102.912001	-1.58347
103.424001	2.06672	103.424001	1.87026
103.936001	-0.12878	103.936001	0.0957055
104.448001	-1.62119	104.448001	-2.50602
104.960001	2.98149	104.960001	1.31842
105.472001	1.96634	105.472001	2.2021
105.984001	-1.28021	105.984001	-0.951448
106.496001	0.569336	106.496001	1.12043
107.008001	-2.43852	107.008001	2.56463
107.520001	2.5616	107.520001	0.633988
108.032001	-0.976651	108.032001	-2.37207
108.544001	1.02575	108.544001	-0.349743
109.056001	-1.88078	109.056001	2.14293
109.568001	-2.43657	109.568001	-1.37218
110.080001	1.54236	110.080001	1.45419
110.592001	-1.26033	110.592001	-1.47151
111.104001	-2.29121	111.104001	1.38037
111.616001	0.247627	111.616001	-1.56761
112.128001	2.12981	112.128001	1.60387
112.640001	2.72103	112.640001	-0.2398
113.152001	-0.79952	113.152001	0.616418
113.664001	-1.14607	113.664001	-1.85845
114.176001	2.13646	114.176001	1.92974
114.688001	-1.61845	114.688001	-0.536852
115.200001	2.12675	115.200001	1.562
115.712001	0.573703	115.712001	-1.93217
116.224001	2.67964	116.224001	2.00182
116.736001	-1.47213	116.736001	0.466672
117.248001	0.180444	117.248001	-1.68054
117.760001	2.15686	117.760001	-2.79535
118.272001	-2.71535	118.272001	0.667094
118.784001	0.651969	118.784001	-2.34861
119.296001	-2.54992	119.296001	1.12519
119.808001	-2.47042	119.808001	-1.69706
120.320001	0.762385	120.320001	-0.979707
120.832001	-1.66485	120.832001	0.909329
121.344001	1.58188	121.344001	-2.15813
121.856001	-2.81103	121.856001	0.942696
122.368001	-0.349936	122.368001	-2.22178
122.880001	0.0466458	122.880001	-1.86548
123.392001	3.12355	123.392001	0.666328
123.904001	-1.15369	123.904001	-2.60433
124.416001	0.616909	124.416001	2.63396
124.928001	-1.8344	124.928001	-0.555575
125.440001	1.87691	125.440001	2.57733
125.952001	-2.10131	125.952001	-0.0835052
126.464001	-1.20231	126.464001	-0.576233
126.976001	2.33292	126.976001	2.58261
127.488001	0.269906	127.488001	-1.5625
128.000001	2.32023	128.000001	-1.01192
128.512001	-2.06211	128.512001	1.4607
129.024001	-2.91989	129.024001	-2.14694
129.536001	-0.468148	129.536001	1.53173
130.048001	2.08311	130.048001	1.03293
130.560001	-2.96298	130.560001	-1.79746
131.072001	0.366225	131.072001	-0.710289
131.584001	-1.52892	131.584001	1.77349
132.096001	2.83951	132.096001	-1.92049
132.608001	-1.86891	132.608001	2.30465
133.120001	0.824479	133.120001	-0.624101
133.632001	-2.15387	133.632001	2.47065
134.144001	1.64082	134.144001	-1.08661
134.656001	1.41849	134.656001	1.64885
135.168002	-1.66277	135.168002	1.82406
135.680002	1.89407	135.680002	1.8304
136.192002	-1.73745	136.192002	-1.36963
136.704002	0.831016	136.704002	-1.44998
137.216002	-2.82859	137.216002	1.60918
137.728002	0.253813	137.728002	-1.87189
138.240002	-2.22198	138.240002	0.0594874
138.752002	0.686457	138.752002	1.94991
139.264002	3.00445	139.264002	-0.830259
139.776002	0.0891873	139.776002	2.42619
140.288002	2.84815	140.288002	-1.90883
140.800002	-0.624571	140.800002	0.75075
141.312002	2.58779	141.312002	-2.59519
141.824002	-0.791791	141.824002	0.537042
142.336002	1.80302	142.336002	-2.09546
142.848002	-2.67413	142.848002	1.51952
143.360002	0.00744094	143.360002	-2.80244
143.872002	2.92372	143.872002	-1.08011
144.384002	-0.839091	144.384002	2.50448
144.896002	2.78271	144.896002	1.58619
145.408002	-0.87252	145.408002	-1.02636
145.920002	1.47022	145.920002	1.7569
146.432002	-1.25962	146.432002	2.60512
146.944002	-1.51936	146.944002	0.300051
147.456002	1.89432	147.456002	-0.901956
147.968002	-1.98194	147.968002	2.50657
148.480002	1.24731	148.480002	-0.373153
148.992002	-1.77733	148.992002	2.79775
149.504002	1.65477	149.504002	-0.641801
150.016002	-1.53564	150.016002	2.09638
150.528002	-0.547476	150.528002	-0.741244
151.040002	1.50976	151.040002	-2.66286
151.552002	3.13862	151.552002	0.975949
152.064002	2.56943	152.064002	-0.0114428
152.576002	-0.492156	152.576002	2.89365
153.088002	2.36218	153.088002	-0.629529
153.600002	-2.19618	153.600002	2.11212
154.112002	0.264474	154.112002	-1.30824
154.624002	-2.96414	154.624002	2.4559
155.136002	0.988285	155.136002	0.611045
155.648002	-2.23133	155.648002	-1.84573
156.160002	1.17263	156.160002	1.50514
156.672002	-1.03431	156.672002	-1.36877
157.184002	3.1056	157.184002	2.25722
157.696002	-0.235906	157.696002	-1.28908
158.208002	2.4622	158.208002	0.379092
158.720002	-0.97213	158.720002	2.67343
159.232002	1.7343	159.232002	-1.3547
159.744002	-1.07897	159.744002	1.39253
160.256002	1.96205	160.256002	1.74364
160.768002	-1.92094	160.768002	-1.09618
161.280002	0.304823	161.280002	2.494
161.792002	2.37002	161.792002	-0.562941
162.304002	-1.99881	162.304002	2.43869
162.816002	-0.621324	162.816002	0.085086
163.328002	1.35663	163.328002	-2.59273
163.840002	3.07423	163.840002	2.07879
164.352002	-2.41017	164.352002	0.475544
164.864002	-1.05051	164.864002	-2.35812
165.376002	0.911569	165.376002	0.750903
165.888002	2.52397	165.888002	-1.36531
166.400002	-2.62319	166.400002	1.94574
166.912002	0.556797	166.912002	-1.00562
167.424002	-0.916824	167.424002	1.88195
167.936002	1.57171	167.936002	-0.464526
168.448002	-3.03383	168.448002	-1.02633
168.960002	-0.415676	168.960002	1.67682
169.472002	-0.795496	169.472002	-0.927101
169.984002	1.63116	169.984002	3.10228
170.496002	-2.92055	170.496002	0.111135
171.008002	-1.52322	171.008002	-1.89728
171.520002	0.811465	171.520002	1.89861
172.032002	2.54349	172.032002	-1.12274
172.544002	-1.24001	172.544002	-2.9968
173.056002	0.204406	173.056002	1.46234
173.568002	1.53711	173.568002	-1.56233
174.080002	2.85484	174.080002	2.24845
174.592002	-1.16644	174.592002	-1.15154
175.104002	-0.060734	175.104002	2.61168
175.616002	-2.65712	175.616002	1.43083
176.128002	1.11071	176.128002	-2.28584
176.640002	-0.301057	176.640002	1.70051
177.152002	2.37634	177.152002	-1.33089
177.664002	0.658419	177.664002	1.48417
178.176002	-0.0435344	178.176002	1.8344
178.688002	2.92913	178.688002	-1.76695
179.200002	-0.863713	179.200002	1.42587
179.712002	0.507973	179.712002	1.71318
180.224002	1.03266	180.224002	-2.27104
180.736002	2.28307	180.736002	0.582296
181.248002	-1.01907	181.248002	0.523493
181.760002	0.616488	181.760002	2.92393
182.272002	1.35524	182.272002	0.118026
182.784002	1.46433	182.784002	-3.00034
183.296002	0.533405	183.296002	0.674699
183.808002	1.66024	183.808002	-2.02159
184.320002	-1.89275	184.320002	2.13835
184.832002	0.708884	184.832002	0.118663
185.344002	1.24981	185.344002	-1.18155
185.856002	-2.74705	185.856002	0.647646
186.368002	-0.0482247	186.368002	-0.658134
186.880002	1.08818	186.880002	-1.68617
187.392002	0.440794	187.392002	-2.60374
187.904002	0.759694	187.904002	-2.56783
188.416002	1.26466	188.416002	-0.0932873
188.928002	-0.303956	188.928002	3.12285
189.440002	0.776748	189.440002	1.55844
189.952002	0.979302	189.952002	0.567537
190.464002	0.787816	190.464002	2.93301
190.976002	1.15159	190.976002	1.46513
191.488002	0.46161	191.488002	-0.840315
192.000002	0.904758	192.000002	2.22925
192.512002	0.583944	192.512002	1.14187
193.024002	1.02649	193.024002	-1.32373
193.536002	1.01576	193.536002	1.93226
194.048002	0.518081	194.048002	-0.150095
194.560002	1.05976	194.560002	2.83777
195.072002	0.84675	195.072002	0.127156
195.584002	0.723201	195.584002	-2.47368
196.096002	0.891406	196.096002	0.314611
196.608002	0.403769	196.608002	-2.68002
197.120002	1.32869	197.120002	1.39288
197.632002	0.604901	197.632002	-0.278739
198.144002	0.799531	198.144002	-0.0420207
198.656002	-2.34898	198.656002	2.99329
199.168002	0.79406	199.168002	-0.202357
199.680002	-2.32259	199.680002	2.0417
200.192002	-2.5211	200.192002	-1.1048
200.704002	-2.23174	200.704002	-2.36472
201.216002	-2.66409	201.216002	0.941799
201.728002	-2.23842	201.728002	-0.91507
202.240002	-2.33121	202.240002	2.07578
202.752002	-2.18831	202.752002	-1.15038
203.264002	-2.49589	203.264002	2.89312
203.776002	-2.2708	203.776002	-0.059175
204.288002	-2.30456	204.288002	-2.81895
204.800002	-2.3813	204.800002	-0.585866
205.312002	-2.40364	205.312002	2.83257
205.824002	-2.11059	205.824002	-1.35223
206.336002	-2.27368	206.336002	-0.616271
206.848002	-2.87359	206.848002	-1.81707
207.360002	-2.1996	207.360002	-2.71459
207.872002	-2.27374	207.872002	-1.73639
208.384002	-2.36593	208.384002	-2.38164
208.896002	-2.15346	208.896002	0.603751
209.408002	-2.59376	209.408002	-2.88644
209.920002	-1.87946	209.920002	-1.94554
210.432002	-2.30831	210.432002	1.15089
210.944002	-2.73929	210.944002	2.88741
211.456002	-0.86668	211.456002	2.9078
211.968002	-2.72294	211.968002	-0.926742
212.480002	-2.86141	212.480002	2.82943
212.992002	-0.47516	212.992002	0.602499
213.504002	-3.03609	213.504002	-2.99793
214.016002	-1.05712	214.016002	-2.47742
214.528002	-2.46182	214.528002	2.22107
215.040002	-2.84577	215.040002	-1.16134
215.552002	-1.26104	215.552002	2.23038
216.064002	-2.27381	216.064002	-1.05836
216.576002	1.3628	216.576002	2.35536
217.088002	-2.56999	217.088002	2.51007
217.600002	-0.779663	217.600002	0.919582
218.112002	-2.36975	218.112002	-2.56939
218.624002	-2.05838	218.624002	1.47967
219.136002	1.514	219.136002	-0.815788
219.648002	-2.99867	219.648002	2.45001
220.160002	-0.171066	220.160002	-0.453557
220.672002	-2.95265	220.672002	0.355726
221.184002	-1.14239	221.184002	2.25109
221.696002	2.10161	221.696002	-1.19462
222.208002	-1.70876	222.208002	1.06402
222.720002	1.68177	222.720002	-1.5963
223.232002	-0.713624	223.232002	1.82502
223.744002	2.13225	223.744002	-2.0329
224.256002	-1.83621	224.256002	0.0945592
224.768002	1.21665	224.768002	1.13486
225.280003	-2.07277	225.280003	-1.69915
225.792003	1.66196	225.792003	1.22309
226.304003	-0.38225	226.304003	-3.10263
226.816003	-1.82778	226.816003	-0.21601
227.328003	-2.32542	227.328003	2.04761
227.840003	1.02204	227.840003	0.396561
228.352003	-2.08726	228.352003	-2.4683
228.864003	1.35551	228.864003	0.256099
229.376003	-1.92285	229.376003	2.95064
229.888003	0.851373	229.888003	0.534245
230.400003	2.13918	230.400003	-1.75036
230.912003	0.320547	230.912003	2.43356
231.424003	-2.48646	231.424003	-0.12853
231.936003	-2.59283	231.936003	3.0125
232.448003	1.0622	232.448003	0.64543
232.960003	-0.25198	232.960003	-0.779191
233.472003	1.06845	233.472003	-2.56656
233.984003	-2.22094	233.984003	0.92266
234.496003	1.10084	234.496003	-0.848632
235.008003	-1.11841	235.008003	2.03571
235.520003	2.57333	235.520003	-2.01433
236.032003	-1.48991	236.032003	0.856266
236.544003	0.23266	236.544003	-2.22674
237.056003	-2.91851	237.056003	0.239434
237.568003	-0.972604	237.568003	1.87525
238.080003	1.05319	238.080003	-0.956375
238.592003	-2.42621	238.592003	-2.60768
239.104003	1.01864	239.104003	0.733646
239.616003	0.407115	239.616003	-2.64742
240.128003	-2.96767	240.128003	0.167435
240.640003	-1.07884	240.640003	2.49296
241.152003	2.61353	241.152003	-1.22135
241.664003	1.04508	241.664003	-1.85338
242.176003	-0.617577	242.176003	0.235554
242.688003	-2.81036	242.688003	-2.41958
243.200003	0.264624	243.200003	1.13649
243.712003	3.13176	243.712003	-2.67221
244.224003	0.135741	244.224003	-1.01697
244.736003	-2.96361	244.736003	1.37649
245.248003	-1.29814	245.248003	2.64392
245.760003	1.46058	245.760003	-0.283362
246.272003	-2.34515	246.272003	-1.19047
246.784003	0.551892	246.784003	1.28816
247.296003	0.472032	247.296003	2.80243
247.808003	0.109636	247.808003	-0.923858
248.320003	-2.79617	248.320003	1.73756
248.832003	0.604882	248.832003	-1.35554
249.344003	-2.82809	249.344003	1.87385
249.856003	-1.36916	249.856003	0.173604
250.368003	1.44171	250.368003	1.34485
250.880003	-1.77555	250.880003	-1.39835
251.392003	0.992297	251.392003	2.01184
251.904003	-2.17329	251.904003	-0.0385631
252.416003	2.89796	252.416003	-2.88629
252.928003	-0.0652126	252.928003	-0.446518
253.440003	1.01025	253.440003	-0.85149
253.952003	2.67803	253.952003	1.63879
254.464003	-1.04764	254.464003	-2.68464
254.976003	0.836136	254.976003	0.308339
255.488003	-2.27718	255.488003	-2.46243
256.000003	1.13102	256.000003	1.27032
256.512003	-2.26604	256.512003	-0.914061
257.024003	1.33018	257.024003	1.63862
257.536003	-1.28194	257.536003	-2.35372
258.048003	2.27445	258.048003	0.249649
258.560003	-1.17394	258.560003	-2.95326
259.072003	1.23251	259.072003	0.461402
259.584003	-1.79556	259.584003	-2.31642
260.096003	1.68577	260.096003	1.44896
260.608003	-1.56529	260.608003	0.386566
261.120003	0.787335	261.120003	-2.15202
261.632003	-2.72729	261.632003	0.596714
262.144003	0.945034	262.144003	1.64855
262.656003	-1.75087	262.656003	-2.01584
263.168003	-2.70165	263.168003	1.9234
263.680003	0.434579	263.680003	-0.738333
264.192003	2.9115	264.192003	1.57423
264.704003	0.0899923	264.704003	-1.6252
265.216003	-2.7003	265.216003	1.02201
265.728003	1.59	265.728003	-2.37097
266.240003	2.02212	266.240003	-0.817508
266.752003	-1.78278	266.752003	-0.676877
267.264003	0.419674	267.264003	2.59624
267.776003	2.87472	267.776003	0.570591
268.288003	0.101002	268.288003	-2.02064
268.800003	-1.69486	268.800003	-0.357149
269.312003	1.34535	269.312003	2.20789
269.824003	2.29863	269.824003	-0.096239
270.336003	-1.0563	270.336003	-2.11612
270.848003	1.32011	270.848003	1.12333
271.360003	1.75157	271.360003	-1.71647
271.872003	-1.88839	271.872003	1.51458
272.384003	-1.15507	272.384003	-0.916891
272.896003	2.67639	272.896003	-2.24879
273.408003	-0.258569	273.408003	1.62596
273.920003	2.14599	273.920003	-0.730313
274.432003	-2.00856	274.432003	1.59023
274.944003	0.71352	274.944003	0.969183
275.456003	-1.82986	275.456003	-2.24747
275.968003	1.59599	275.968003	0.3828
276.480003	-1.49395	276.480003	-2.72964
276.992003	-1.02705	276.992003	-0.704825
277.504003	0.740322	277.504003	2.32799
278.016003	-2.68576	278.016003	-0.59771
278.528003	0.803465	278.528003	1.21122
279.040003	-1.6497	279.040003	-1.22881
279.552003	-0.776008	279.552003	-2.47985
280.064003	2.22809	280.064003	0.984437
280.576003	-0.846525	280.576003	-2.04279
281.088003	-1.36653	281.088003	0.935444
281.600003	1.27709	281.600003	-1.58739
282.112003	-2.7249	282.112003	1.27616
282.624003	-0.00589266	282.624003	-2.55034
283.136003	-2.57171	283.136003	-0.124137
283.648003	1.48989	283.648003	-1.94386
284.160003	-1.35047	284.160003	1.19794
284.672003	1.82297	284.672003	-1.85601
285.184003	-0.723217	285.184003	0.264479
285.696003	2.52275	285.696003	2.81501
286.208003	-0.850242	286.208003	-1.35811
286.720003	-2.29733	286.720003	1.90922
287.232003	1.01496	287.232003	-1.47995
287.744003	-2.79207	287.744003	-0.526501
288.256003	-1.17483	288.256003	-2.55618
288.768003	1.23721	288.768003	-2.89237
289.280003	-2.10246	289.280003	-0.346745
289.792003	0.603864	289.792003	-2.75031
290.304003	1.12403	290.304003	0.407943
290.816003	-2.49841	290.816003	3.02586
291.328003	1.11486	291.328003	2.61274
291.840003	-1.67994	291.840003	-0.854077
292.352003	1.41519	292.352003	2.32331
292.864003	-1.95279	292.864003	-1.79778
293.376003	-1.79665	293.376003	-1.67119
293.888003	1.20815	293.888003	2.21493
294.400003	-2.25651	294.400003	0.0266144
294.912003	-1.0173	294.912003	-2.94411
295.424003	2.30043	295.424003	-0.105258
295.936003	-0.148066	295.936003	2.51341
296.448003	-0.613052	296.448003	-0.235612
296.960003	0.106011	296.960003	-1.56403
297.472003	-2.84714	297.472003	2.5872
297.984003	0.301017	297.984003	-0.897156
298.496003	-2.82448	298.496003	1.56544
299.008003	0.59767	299.008003	2.33555
299.520003	-2.04555	299.520003	-1.74716
300.032003	2.4836	300.032003	2.51518
300.544003	-0.565581	300.544003	0.66453
301.056003	2.56633	301.056003	-1.09608
301.568003	-0.606068	301.568003	-1.83606
302.080003	2.52858	302.080003	1.91972
302.592003	-0.815077	302.592003	0.457826
303.104003	-0.305375	303.104003	-2.37918
303.616003	2.42553	303.616003	0.343094
304.128003	-0.482853	304.128003	-2.21609
304.640003	2.04343	304.640003	1.38883
305.152003	-2.4872	305.152003	-1.4688
305.664003	0.275114	305.664003	-3.10164
306.176003	-2.91922	306.176003	-0.0151424
306.688003	-0.0372277	306.688003	-2.6777
307.200003	2.77701	307.200003	0.445354
307.712003	-0.862351	307.712003	2.0266
308.224003	1.08303	308.224003	-2.28804
308.736003	2.08084	308.736003	0.762057
309.248003	-2.24311	309.248003	-1.06731
309.760003	0.108273	309.760003	2.1351
310.272003	1.57076	310.272003	-1.02552
310.784003	-2.83735	310.784003	2.08168
311.296003	-0.250237	311.296003	-1.24663
311.808003	0.0344884	311.808003	-0.181425
312.320003	2.6867	312.320003	2.18084
312.832003	-1.27431	312.832003	-0.240484
313.344003	1.32756	313.344003	2.33976
313.856003	-0.91721	313.856003	1.17292
314.368003	2.9266	314.368003	-0.983611
314.880004	-0.765757	314.880004	2.64642
315.392004	1.73325	315.392004	-0.321339
315.904004	1.63644	315.904004	2.8813
316.416004	-1.81151	316.416004	1.37697
316.928004	-1.01818	316.928004	-1.08021
317.440004	1.9503	317.440004	1.51071
317.952004	-2.09808	317.952004	-1.07458
318.464004	-0.103519	318.464004	2.56626
318.976004	2.67422	318.976004	1.49728
319.488004	3.08006	319.488004	-1.13161
320.000004	-0.638447	320.000004	2.27116
320.512004	2.08803	320.512004	0.195856
321.024004	2.68108	321.024004	2.87521
321.536004	-0.043775	321.536004	0.342014
322.048004	-1.16291	322.048004	-2.86116
322.560004	1.6067	322.560004	-1.24193
323.072004	-2.10465	323.072004	0.174828
323.584004	0.842484	323.584004	-2.24031
324.096004	-1.78396	324.096004	1.52985
324.608004	2.54193	324.608004	-1.44064
325.120004	0.164764	325.120004	1.60166
325.632004	-2.35027	325.632004	2.24741
326.144004	0.603885	326.144004	-1.70755
326.656004	3.07723	326.656004	0.629837
327.168004	-0.611749	327.168004	-1.35034
327.680004	-2.30881	327.680004	-1.90454
328.192004	0.649986	328.192004	1.25493
328.704004	2.94287	328.704004	-1.39647
329.216004	-2.91899	329.216004	1.2122
329.728004	-0.127047	329.728004	-2.48579
330.240004	2.95495	330.240004	-1.58521
330.752004	-0.894253	330.752004	-0.81184
331.264004	1.64568	331.264004	2.3232
331.776004	0.726452	331.776004	-0.356847
332.288004	1.70376	332.288004	2.53796
332.800004	-2.08844	332.800004	-1.83221
333.312004	0.648195	333.312004	0.628424
333.824004	2.51659	333.824004	-2.51229
334.336004	-1.60609	334.336004	0.410679
334.848004	-2.35355	334.848004	-2.25928
335.360004	0.584051	335.360004	1.64619
335.872004	-1.45474	335.872004	-0.803165
336.384004	1.23606	336.384004	2.39665
336.896004	-2.6394	336.896004	-0.212742
337.408004	0.578106	337.408004	-2.00327
337.920004	-1.42571	337.920004	1.00044
338.432004	1.23884	338.432004	-0.391397
338.944004	-3.05013	338.944004	2.68236
339.456004	-0.365228	339.456004	-0.172544
339.968004	1.75983	339.968004	-2.64348
340.480004	-3.03795	340.480004	0.166191
340.992004	-0.121309	340.992004	-2.77171
341.504004	-3.11326	341.504004	-0.45025
342.016004	2.95199	342.016004	3.09067
342.528004	-0.216058	342.528004	0.33947
343.040004	2.38965	343.040004	-2.86318
343.552004	-1.74978	343.552004	0.566301
344.064004	1.52684	344.064004	-1.686
344.576004	-0.285187	344.576004	2.5075
345.088004	3.05276	345.088004	-0.164824
345.600004	-2.46876	345.600004	3.03751
346.112004	-0.104312	346.112004	0.177206
346.624004	-2.93987	346.624004	-2.18081
347.136004	1.0761	347.136004	1.84302
347.648004	2.73752	347.648004	1.22735
348.160004	-0.247532	348.160004	-0.585719
